Base Model,Period,MAE,RMSE
Naive Model,2015-2019,0.20325021137562885,0.26090637113922865
Autoregressive Model,2015-2019,0.20120408751070976,0.2626872799225787
Multivariate Regression Model,2015-2019,0.20070686912790342,0.2674864895558003
VAR Model,2015-2019,0.21014809155783637,0.26477813039562675
Naive Model,2020-2026,0.343223598598123,0.46341045385273344
Autoregressive Model,2020-2026,0.3309076252728418,0.4338644952750558
Multivariate Regression Model,2020-2026,0.3741421444346445,0.4995152102533784
VAR Model,2020-2026,0.45118571092679016,0.6427256123065476
